batting_team,bowling_team,venue,runs,wickets,overs,runs_last_5,wickets_last_5,crr,overs_left,wkts_in_hand,in_powerplay,remaining_runs
Kings XI Punjab,Pune Warriors,"Punjab Cricket Association Stadium, Mohali",60,2,9.0,35.0,1.0,6.666666666666667,11.0,8,0,59
Kings XI Punjab,Pune Warriors,"Punjab Cricket Association Stadium, Mohali",71,2,10.0,42.0,1.0,7.1,10.0,8,0,48
Kings XI Punjab,Pune Warriors,"Punjab Cricket Association Stadium, Mohali",77,2,11.0,43.0,1.0,7.0,9.0,8,0,42
Kings XI Punjab,Pune Warriors,"Punjab Cricket Association Stadium, Mohali",79,2,12.0,34.0,1.0,6.583333333333333,8.0,8,0,40
Kings XI Punjab,Pune Warriors,"Punjab Cricket Association Stadium, Mohali",82,3,13.0,31.0,1.0,6.3076923076923075,7.0,7,0,37
Kings XI Punjab,Pune Warriors,"Punjab Cricket Association Stadium, Mohali",89,3,14.0,29.0,1.0,6.357142857142857,6.0,7,0,30
Kings XI Punjab,Pune Warriors,"Punjab Cricket Association Stadium, Mohali",96,4,15.0,25.0,2.0,6.4,5.0,6,0,23
Kings XI Punjab,Pune Warriors,"Punjab Cricket Association Stadium, Mohali",102,5,16.0,25.0,3.0,6.375,4.0,5,0,17
Kings XI Punjab,Pune Warriors,"Punjab Cricket Association Stadium, Mohali",109,5,17.0,30.0,3.0,6.411764705882353,3.0,5,0,10
Kings XI Punjab,Pune Warriors,"Punjab Cricket Association Stadium, Mohali",110,6,18.0,28.0,3.0,6.111111111111111,2.0,4,0,9
Kings XI Punjab,Pune Warriors,"Punjab Cricket Association Stadium, Mohali",116,7,19.0,27.0,4.0,6.105263157894737,1.0,3,0,3
Chennai Super Kings,Rajasthan Royals,Sawai Mansingh Stadium,7,0,1.0,7.0,0.0,7.0,19.0,10,1,189
Chennai Super Kings,Rajasthan Royals,Sawai Mansingh Stadium,15,0,2.0,15.0,0.0,7.5,18.0,10,1,181
Chennai Super Kings,Rajasthan Royals,Sawai Mansingh Stadium,25,0,3.0,25.0,0.0,8.333333333333334,17.0,10,1,171
Chennai Super Kings,Rajasthan Royals,Sawai Mansingh Stadium,34,0,4.0,34.0,0.0,8.5,16.0,10,1,162
